anio,mes,dia,estacion,valor
2017, 9, 25, 14, 31.2
2017, 9, 25, 15, 68.16
2017, 9, 25, 16, 46.6
2017, 9, 25, 17, 36.84
2017, 10, 2, 2, 3.99
2017, 10, 2, 3, 0.49
2017, 10, 2, 4, 7.4
2017, 10, 2, 5, 0.5
2017, 10, 2, 6, 0.32
2017, 10, 2, 7, 4.14
2017, 10, 2, 8, 12.2
2017, 10, 2, 9, 1.3
2017, 10, 2, 10, 0.58
2017, 10, 2, 11, 0.54
2017, 10, 2, 12, 11.36
2017, 10, 2, 13, 4.14
2017, 10, 2, 14, 4.91
2017, 10, 2, 15, 27.94
2017, 10, 2, 16, 7.9
2017, 10, 2, 17, 0.54
2017, 10, 9, 2, 15.96
2017, 10, 9, 3, 4.61
2017, 10, 9, 4, 27.9
2017, 10, 9, 5, 7.6
2017, 10, 9, 6, 1.03
2017, 10, 9, 7, 0.38
2017, 10, 9, 8, 13.1
2017, 10, 9, 9, 10.13
2017, 10, 9, 10, 3.22
2017, 10, 9, 11, 4.91
2017, 10, 9, 12, 21.8
2017, 10, 9, 13, 83.51
2017, 10, 9, 14, 5.68
2017, 10, 9, 15, 16.27
2017, 10, 9, 16, 12.8
2017, 10, 9, 17, 8.75
2017, 10, 16, 3, 0.2
2017, 10, 16, 4, 3.8
2017, 10, 16, 5, 5.68
2017, 10, 16, 8, 0.6
2017, 10, 16, 11, 8.75
2017, 10, 16, 12, 10.28
2017, 10, 16, 13, 8.9
2017, 10, 16, 14, 3.99
2017, 10, 16, 15, 10.75
2017, 10, 16, 17, 0.3
2017, 10, 23, 2, 7.06
2017, 10, 23, 3, 0.1
2017, 10, 23, 4, 13.5
2017, 10, 23, 6, 0.49
2017, 10, 23, 8, 9.52
2017, 10, 23, 9, 4.91
2017, 10, 23, 12, 14.43
2017, 10, 23, 13, 0.49
2017, 10, 23, 15, 21.8
2017, 10, 30, 3, 1.07
2017, 10, 30, 5, 7.21
2017, 10, 30, 7, 1.38
2017, 10, 30, 10, 15.04
2017, 10, 30, 11, 1.69
2017, 10, 30, 15, 5.7
2017, 10, 30, 16, 4.4
2017, 10, 30, 17, 0.92
2017, 11, 6, 7, 0.2
2018, 4, 23, 2, 21.1
2018, 4, 23, 3, 11.97
2018, 4, 23, 4, 2.0
2018, 4, 23, 5, 41.9
2018, 4, 23, 6, 4.5
2018, 4, 23, 7, 7.9
2018, 4, 23, 8, 24.7
2018, 4, 23, 9, 24.6
2018, 4, 23, 10, 21.3
2018, 4, 23, 11, 20.8
2018, 4, 23, 12, 1.0
2018, 4, 23, 13, 6.1
2018, 4, 23, 14, 16.9
2018, 4, 23, 15, 9.0
2018, 4, 23, 16, 36.0
2018, 4, 23, 17, 17.2
2018, 4, 30, 2, 28.7
2018, 4, 30, 3, 18.3
2018, 4, 30, 4, 15.0
2018, 4, 30, 5, 38.1
2018, 4, 30, 6, 1.2
2018, 4, 30, 7, 20.8
2018, 4, 30, 8, 6.9
2018, 4, 30, 9, 15.2
2018, 4, 30, 10, 49.0
2018, 4, 30, 11, 15.2
2018, 4, 30, 12, 11.7
2018, 4, 30, 13, 35.1
2018, 4, 30, 14, 32.7
2018, 4, 30, 15, 10.8
2018, 4, 30, 16, 26.2
2018, 4, 30, 17, 11.4
2018, 5, 7, 2, 51.6
2018, 5, 7, 3, 4.5
2018, 5, 7, 4, 17.0
2018, 5, 7, 5, 1.5
2018, 5, 7, 6, 52.6
2018, 5, 7, 7, 6.4
2018, 5, 7, 8, 17.5
2018, 5, 7, 9, 26.9
2018, 5, 7, 10, 8.7
2018, 5, 7, 11, 1.7
2018, 5, 7, 12, 24.9
2018, 5, 7, 13, 17.8
2018, 5, 7, 14, 0.3
